owner_wallet,associated_token_address,mint_account,metadata_account
E3Y12VundPkhLNsumBjRjfMNpgMwuCQmNSHPSJVr2CWz,4o8YkfQaqvothK1E5z8nYHUoCsk6CiUw61pwzT2JA5DK,7LJ5NJdmFaVhYEjGXk8tkNgWUSN4Q1xErpW9Pqxm63P1,8uNzA88dpPXRHMKtEa6qhuTgtmcZu8NGVNLAVN5cn9dh
8Bt7SYrXa5eV2Jo8yVbZYNs11XLpmhoZx3AMMKHLnz6v,D7yHmiKVVxt8BUsYH9nmYvwhxaa9o3ZfTUm4D2hj2aha,EQp5e9JAKTwxsqd1SqMWiLDSEXxYdxDw4mtjNoHKkK7p,4stupt17s3yXogkQKiHoA4T5PaMmyyJnsQiUntFCULEM
2f1nCmSyff2aYVbPKv2noACDmHTtukbvREC2VYg8UZt2,BGNModDSQoaLFZb88byNP7dXJutmbEDRXmpB36DxTnQ6,EkqXqMKk4PnRtXBPSVGhWF8Supz6o9KqS8ae69yuA6BX,4tvBLgtTs7mXE3s41vJU1Y1BzmKhwVG26KWF1U6Skbwm
9XZG4uAZX4TCPyLr6fCzWe6aCVe3iKc3SdMdmx7uH2Cu,DV3NLSLmetFEcbT8rz7vgAauwWEjGtLdbvGk9ufJrcdL,6PYXQq8F2YXb9ma8QFUANViSTNwKPVF282LuNK37QkHa,5eUcGcrXxHhdstQKf32JEAA2G6Q4A6cHpuZ1ac3oSPxv
CproxWoLCk4QrCd3VJNUpo3QZf3bjEnTN1FuBcRbZYaw,62qHwNmEBVibV71fjTzfTiTq57KZrb2u1KCUmedbN4dF,7tXP2sFGsA52CKvkaF5taFQSJLY4sAjdfincdaJNF3r7,AiXTyjpgkDHQhn91DLFSngkdMG1SzB5rV7745o9LJToh
7Y6TBPvwPLiBvBAdQaaBQAqffgZ5ytrHh9vMNsrv3FSj,3Ctgh6eFJcpWEonENVRbjgjZdg3eVyvRpkYSJG4bYFfm,7hH6o3dQgoj6FTcZSXo1tUi3ipmKeWqbDojxzWmg6FwS,E9ryPuvkRHgyCEoeuGJfoszR3ENhhpfzWF3nH7AbHS5r
D5VzTcFx6U9y7AkkWKmWUHfNEk3s79dWG1YjAxKeJrbm,GWbjQMpyztCozddjyKbTSX7dk7CcZ1zJpMZCujc5otsX,6t1KtoEq8sq9sFfdWrKcDy8moNvabdndT472skTNHB2E,BWcbsaVeM5aFnsMs17h2uNRSmQx7iTWtQJFqijMV9mST
2ZMni6HE5z6VsmtmhxzVzie6p8BFCUqEGymzyCqJS41E,BMZGcL8WtMKBny9xNHtfX7ZrUp6766ctft5jD9QgHzVd,Gx447fAbyYARjq5BGtzH5rZaHfdykmSn5JuFAi2oiUJi,6RpTBRut3wAqq3E6FT17RUsyTAhq67XXNygnWtXjLEtw
6uj6UsJdZhghGpYKifVF5Cvm9enbXsKyzte1dYMpBtPB,DAPaQ4tvg9LDGrjxV5usvbL4VXUAJJpwRZXirgyRXFZ2,GWU9Ae5Mw8cpzQjhZNqKLPvVgxkw8xGk8oVQbKS3hcg3,FAMMzBWuDZBFr6FyjwSfiainF8JtRraoMNvzypHfXsAu
2JuZRRSbhs2qjKJgighrGeh221znNrnQeACbKAwV82aC,9i9Upu1zWg6oZye1ecBw2qFnFpyaerqZUQgCHANhAmvS,5nersSUV3QRanmVire27cmVbH4Ac5PutTxwxxSPxRc9i,9twZCrnqG5UZxrMMSve5aYVA63mgAkRk2Wb8qq7u2dNc
mRor7qYpMgbmUtmMF22getbbJad9rjr86NBgJA12YbZ,EzLrqohHXtM38fHqHZgZadDwPAoUAsjCJxFPyuR6dT7f,9baRbDRQBEKGsCV6qcz4r3i4bXStUUxtkuXQ25wLqWcQ,HbZEtLa2MQy9Zfh3g85rSWeqXjE8nepTr15arT1CLDjc
